Option Name,Contact,Address,Size_1Bedroom,Size_2Bedrooms,Rent,Rent_1Bedroom,Rent_2Bedrooms,Pet Policy,Distance,Duration,Parking,Gym,Kitchen,Amenities,Features,Living Space,Lease Info,Services,Property Info,Indoor Info,Outdoor Info
"[2 br, 1 bath House - 2050 Sunridge Cir](https://www.apartments.com/2-br-1-bath-house-2050-sunridge-cir-broomfield-co/b8p8208/)",,"[2050 Sunridge Cir, Broomfield, CO 80020](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/2050+Sunridge+Cir,+Broomfield,+CO+80020/data=!4m2!4m1!3e2)",,810 Sq Ft,"$1,650 ",,1650,Dogs Allowed,13.4 mi,19 mins,,,,* No Cats Allowed,,,,,,,
"[2 br, 2.5 bath House - 7775 W 90th Drive](https://www.apartments.com/2-br-25-bath-house-7775-w-90th-drive-westminster-co/z5f3bhw/)",,"[7775 W 90th Dr, Westminster, CO 80021](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/7775+W+90th+Dr,+Westminster,+CO+80021/data=!4m2!4m1!3e2)",,"1,180 Sq Ft","$1,995 ",,1995,Dogs Allowed,16.25 mi,23 mins,,,,,,,,,,,
[33 S Boulder Cir](https://www.apartments.com/33-s-boulder-cir-boulder-co/r1c68w2/),,"[33 S Boulder Cir, Boulder, CO 80303](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/33+S+Boulder+Cir,+Boulder,+CO+80303/data=!4m2!4m1!3e2)",,976 Sq Ft,"$1,900 ",,1900,No Pets Allowed,3.25 mi,8 mins,,,,"* No Dogs Allowed, No Cats Allowed, Amenities - hiking/biking trails nearby, fireplace, extra storage",* Washer/Dryer,,,,,,
"[4 br, 3.5 bath House - 1232 Whitehall Drive](https://www.apartments.com/4-br-35-bath-house-1232-whitehall-drive-longmont-co/c4jqjbe/)",,"[1232 Whitehall Dr, Longmont, CO 80504](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/1232+Whitehall+Dr,+Longmont,+CO+80504/data=!4m2!4m1!3e2)",,,"$3,900 ",,,Dogs Allowed,19.05 mi,30 mins,,,,"* Amenities - extra storage, garage - 3 car, fireplace, five-piece bath, hardwood floors, hiking/bikin",* Washer/Dryer * Air Conditioning,* Furnished,,,* Furnished,,
"[1 br, 1 bath Apartment - 2380 West 76th Ave](https://www.apartments.com/1-br-1-bath-apartment-2380-west-76th-ave-denver-co/4kct55k/)",,"[2380 W 76th Ave, Denver, CO 80221](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/2380+W+76th+Ave,+Denver,+CO+80221/data=!4m2!4m1!3e2)",680 Sq Ft,,"$1,239 ",1239,,Dogs Allowed,20.15 mi,23 mins,,,* Dishwasher,* Amenities - new range,,,,,,,
[6 4th Ave](https://www.apartments.com/6-4th-ave-longmont-co/wfrezfl/),,"[6 4th Ave, Longmont, CO 80501](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/6+4th+Ave,+Longmont,+CO+80501/data=!4m2!4m1!3e2)",550 Sq Ft,,$945 ,945,,No Pets Allowed,15.15 mi,25 mins,,,,"* No Pets Allowed, Amenities - tbb ws",,,,,,,
[3527 Nottingham Ct](https://www.apartments.com/3527-nottingham-ct-boulder-co/xwkl4kn/),,"[3527 Nottingham Ct, Boulder, CO 80304](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/3527+Nottingham+Ct,+Boulder,+CO+80304/data=!4m2!4m1!3e2)",,"1,080 Sq Ft","$1,699 ",,1699,Dogs Allowed,1.9 mi,7 mins,,,* Dishwasher,"* No Cats Allowed, Amenities - community laundry room",,,,,,,
[6454 Orion Way](https://www.apartments.com/6454-orion-way-arvada-co/hynjep1/),,"[6454 Orion Way, Arvada, CO 80007](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/6454+Orion+Way,+Arvada,+CO+80007/data=!4m2!4m1!3e2)",,,"$2,100 ",,,No Pets Allowed,18.55 mi,28 mins,,,,"* No Dogs Allowed, No Cats Allowed",,,,,,,
[7200 Tennyson St Unit 1](https://www.apartments.com/7200-tennyson-st-westminster-co-unit-1/q1rrjxw/),,"[7200 Tennyson St, Westminster, CO 80030](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/7200+Tennyson+St,+Westminster,+CO+80030/data=!4m2!4m1!3e2)",,900 Sq Ft,"$1,350 ",,1350,Dogs Allowed,19.65 mi,24 mins,,,,* No Cats Allowed,,,,,,,
[4509 Driftwood Pl](https://www.apartments.com/4509-driftwood-pl-boulder-co/mpbgcpl/),,"[4509 Driftwood Pl, Boulder, CO 80301](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/4509+Driftwood+Pl,+Boulder,+CO+80301/data=!4m2!4m1!3e2)",,,"$1,995 ",,,,5.45 mi,11 mins,,,,,,,,,,,
"[3 br, 2 bath House - 51 21st Ave #14](https://www.apartments.com/3-br-2-bath-house-51-21st-ave-14-longmont-co/9w3phr4/)",,"[51 21st Ave, Longmont, CO 80501](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/51+21st+Ave,+Longmont,+CO+80501/data=!4m2!4m1!3e2)",,,"$1,795 ",,,,17.55 mi,30 mins,,,,,,,,,,,
"[4 br, 2 bath House - 404 Main Street](https://www.apartments.com/4-br-2-bath-house-404-main-street-erie-co/jn0ys86/)",,"[404 Main St, Erie, CO 80516](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/404+Main+St,+Erie,+CO+80516/data=!4m2!4m1!3e2)",,,"$2,000 ",,,,13.25 mi,25 mins,,,,,,,,,,,
[1430 Emery St](https://www.apartments.com/1430-emery-st-longmont-co/3qvl06e/),,"[1430 Emery St, Longmont, CO 80501](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/1430+Emery+St,+Longmont,+CO+80501/data=!4m2!4m1!3e2)",550 Sq Ft,,$895 ,895,,No Pets Allowed,16.45 mi,28 mins,,,,* Amenities - tbb wsg,,,,,,,
[554 W Sycamore St](https://www.apartments.com/554-w-sycamore-st-louisville-co/p13plpt/),,"[554 W Sycamore St, Louisville, CO 80027](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/554+W+Sycamore+St,+Louisville,+CO+80027/data=!4m2!4m1!3e2)",,,"$2,295 ",,,Dogs and Cats Allowed,9.25 mi,16 mins,,,* Dishwasher * Microwave * Refrigerator,,,,,,,,
[Close to Chautauqua Park and Campus](https://www.apartments.com/close-to-chautauqua-park-and-campus-boulder-co/nbbw5tn/),,"[1715 Baseline Rd, Boulder, CO 80302](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/1715+Baseline+Rd,+Boulder,+CO+80302/data=!4m2!4m1!3e2)",,,"$2,550 ",,,Cats Allowed,2.0999999999999996 mi,7 mins,,,,,,,,,,,
[6631 Morrison Dr](https://www.apartments.com/6631-morrison-dr-denver-co/q31e2sy/),,"[6631 Morrison Dr, Denver, CO 80221](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/6631+Morrison+Dr,+Denver,+CO+80221/data=!4m2!4m1!3e2)",,,"$2,995 ",,,,20.85 mi,26 mins,,,,,,,,,,,
[180 Willow Ct N](https://www.apartments.com/180-willow-ct-n-broomfield-co/b89gqy8/),,"[180 Willow Ct N, Broomfield, CO 80020](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/180+Willow+Ct+N,+Broomfield,+CO+80020/data=!4m2!4m1!3e2)",,,"$1,995 ",,,Dogs and Cats Allowed,13.7 mi,19 mins,Garage and Other Assigned Parking.,* Fitness Center,* Dishwasher * Disposal * Microwave * Refrigerator,* SharedYard,* Washer/Dryer Hookup * Air Conditioning,,,,,,
[3252 Foundry Place](https://www.apartments.com/3252-foundry-place-boulder-co/cj64wpd/),,"[3252 Foundry Pl, Boulder, CO 80301](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/3252+Foundry+Pl,+Boulder,+CO+80301/data=!4m2!4m1!3e2)",686 Sq Ft,,"$1,650 ",1650,,,1.1 mi,4 mins,Covered and Other Assigned Parking.,,* Dishwasher * Disposal * Microwave * Refrigerator,,* Washer/Dryer * Air Conditioning * Cable Ready,,,,,,
[9266 Myrna Pl](https://www.apartments.com/9266-myrna-pl-thornton-co/fg7dqgt/),,"[9266 Myrna Pl, Thornton, CO 80229](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/9266+Myrna+Pl,+Thornton,+CO+80229/data=!4m2!4m1!3e2)",,,"$1,725 ",,,Dogs and Cats Allowed,25.7 mi,31 mins,,,* Dishwasher * Refrigerator,,,,,,,,
[Well Maintained Broomfield Cottage](https://www.apartments.com/well-maintained-broomfield-cottage-broomfield-co/8np7z50/),,"[4937 Pasadena Way, Broomfield, CO 80023](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/4937+Pasadena+Way,+Broomfield,+CO+80023/data=!4m2!4m1!3e2)",,,"$2,500 ",,,Dogs and Cats Allowed,15.2 mi,22 mins,Garage and Other Assigned Parking.,,* Dishwasher * Disposal * Refrigerator,,* Air Conditioning,* Basement,,,,,
[1133 Grant St](https://www.apartments.com/1133-grant-st-longmont-co/l5w51nf/),,"[1133 Grant St, Longmont, CO 80501](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/1133+Grant+St,+Longmont,+CO+80501/data=!4m2!4m1!3e2)",,,"$1,950 ",,,Dogs and Cats Allowed,15.3 mi,25 mins,Garage,,,,* Washer/Dryer,,,,,,
[Mountain Living At Its Finest](https://www.apartments.com/mountain-living-at-its-finest-boulder-co/v12eccd/),,"[755 Brook Rd, Boulder, CO 80302](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/755+Brook+Rd,+Boulder,+CO+80302/data=!4m2!4m1!3e2)",,,"$3,600 ",,,Dogs and Cats Allowed,9.8 mi,22 mins,Other Assigned Parking.,,* Dishwasher * Refrigerator,,* Washer/Dryer * Fireplace,,,,,,
[2805 16th St](https://www.apartments.com/2805-16th-st-boulder-co/zpqbwlz/),,"[2805 16th St, Boulder, CO 80304](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/2805+16th+St,+Boulder,+CO+80304/data=!4m2!4m1!3e2)",,,"$3,700 ",,,Dogs and Cats Allowed,1.85 mi,7 mins,Garage and Other Assigned Parking.,,* Dishwasher,,* Washer/Dryer * Fireplace,* Basement,,,,,
[1175 Berea Dr](https://www.apartments.com/1175-berea-dr-boulder-co/gck3llz/),,"[1175 Berea Dr, Boulder, CO 80305](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/1175+Berea+Dr,+Boulder,+CO+80305/data=!4m2!4m1!3e2)",,,"$2,400 ",,,Dogs and Cats Allowed,4.5 mi,11 mins,Garage and Other Assigned Parking.,,,,* Air Conditioning,,,,,,
[2864 Blue Jay Way](https://www.apartments.com/2864-blue-jay-way-lafayette-co/stk0pe6/),,"[2864 Blue Jay Way, Lafayette, CO 80026](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/2864+Blue+Jay+Way,+Lafayette,+CO+80026/data=!4m2!4m1!3e2)",,,"$3,100 ",,,Dogs and Cats Allowed,13.600000000000001 mi,19 mins,Garage and Other,,,* SharedYard,* Washer/Dryer * Air Conditioning * Fireplace,* Basement,,,,,
[Cozy Condo in Westminster](https://www.apartments.com/cozy-condo-in-westminster-westminster-co-unit-1f/bxg8nwc/),,"[2428 W 82nd Pl, Westminster, CO 80031](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/2428+W+82nd+Pl,+Westminster,+CO+80031/data=!4m2!4m1!3e2)",,983 Sq Ft,"$1,450 ",,1450,Dogs and Cats Allowed,20.200000000000003 mi,24 mins,,,,,,,,,,,
[1287 Doric Dr](https://www.apartments.com/1287-doric-dr-lafayette-co/s02nj14/),,"[1287 Doric Dr, Lafayette, CO 80026](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/1287+Doric+Dr,+Lafayette,+CO+80026/data=!4m2!4m1!3e2)",,,"$2,500 ",,,,9.85 mi,20 mins,Garage and Other Assigned Parking.,,,,* Fireplace,,,,,,
[3993 Promontory Ct](https://www.apartments.com/3993-promontory-ct-boulder-co/n0hkb6n/),,"[3993 Promontory Ct, Boulder, CO 80304](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/3993+Promontory+Ct,+Boulder,+CO+80304/data=!4m2!4m1!3e2)",,,"$5,500 ",,,,4.1 mi,12 mins,Garage,* Pool,* Dishwasher * Disposal,,* Air Conditioning * Cable Ready * Fireplace,,,,,,
[705 Cheeseman St. Erie CO 80516](https://www.apartments.com/705-cheeseman-st-erie-co-80516-erie-co/3b563rd/),,"[705 Cheesman St, Erie, CO 80516](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/705+Cheesman+St,+Erie,+CO+80516/data=!4m2!4m1!3e2)",,,"$1,980 ",,,Dogs Allowed,13.75 mi,24 mins,,,* Dishwasher * Range * Refrigerator,,,,,,,,
[2014 Cedarwood Pl](https://www.apartments.com/2014-cedarwood-pl-erie-co/4247cfj/),,"[2014 Cedarwood Pl, Erie, CO 80516](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/2014+Cedarwood+Pl,+Erie,+CO+80516/data=!4m2!4m1!3e2)",,,"$2,650 ",,,,16.7 mi,26 mins,,,,,,,,,,,
[122 N Ford St](https://www.apartments.com/122-n-ford-st-golden-co/62mqtfr/),,"[122 N Ford St, Golden, CO 80403](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/122+N+Ford+St,+Golden,+CO+80403/data=!4m2!4m1!3e2)",,,"$2,795 ",,,,19.75 mi,29 mins,Garage,,* Dishwasher * Range * Refrigerator,,* Washer/Dryer Hookup,* Hardwood Floors,,,,,* Yard
[1 bedroom in Boulder CO 80303](https://www.apartments.com/1-bedroom-in-boulder-co-80303-boulder-co/ysyxhvv/),,"[805 29th St, Boulder, CO 80303](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/805+29th+St,+Boulder,+CO+80303/data=!4m2!4m1!3e2)",,,"$1,650 ",1650,,,1.3 mi,5 mins,,,,,,,,,,,
[3 bedroom in Longmont CO 80503](https://www.apartments.com/3-bedroom-in-longmont-co-80503-longmont-co/yb6127s/),,"[791 Thornwood Cir, Longmont, CO 80503](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/791+Thornwood+Cir,+Longmont,+CO+80503/data=!4m2!4m1!3e2)",,,"$1,999 ",,,,12.35 mi,19 mins,,,,,,,,,,,
[1303 Alpine Ave](https://www.apartments.com/1303-alpine-ave-boulder-co/fz078mr/),,"[1303 Alpine Ave, Boulder, CO 80304](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/1303+Alpine+Ave,+Boulder,+CO+80304/data=!4m2!4m1!3e2)",,"1,112 Sq Ft","$2,195 ",,2195,No Pets Allowed,1.95 mi,7 mins,,,,"* No Dogs Allowed, No Cats Allowed, Amenities - great natural light, wood burning stove, near downtown",* Air Conditioning,,,,,,
[2740 W 86th Ave](https://www.apartments.com/2740-w-86th-ave-westminster-co/6rdnlmt/),,"[2740 W 86th Ave, Westminster, CO 80031](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/2740+W+86th+Ave,+Westminster,+CO+80031/data=!4m2!4m1!3e2)",,,"$1,595 ",,,,20.1 mi,24 mins,,,* Dishwasher * Range * Refrigerator,,* Washer/Dryer Hookup * Fireplace,,,,,,
[1011 Hover St](https://www.apartments.com/1011-hover-st-longmont-co/syj2nc4/),,"[1011 Hover St, Longmont, CO 80501](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/1011+Hover+St,+Longmont,+CO+80501/data=!4m2!4m1!3e2)",650 Sq Ft,,$925 ,925,,No Pets Allowed,14.35 mi,22 mins,,,,"* No Dogs Allowed, No Cats Allowed",,,,,,,
"[3 br, 2 bath House - 2033 Gyros Circle](https://www.apartments.com/3-br-2-bath-house-2033-gyros-circle-lafayette-co/wge09gj/)",,"[2033 Gyros Cir, Lafayette, CO 80026](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/2033+Gyros+Cir,+Lafayette,+CO+80026/data=!4m2!4m1!3e2)",,,"$1,995 ",,,Dogs Allowed,9.5 mi,20 mins,,,,"* Amenities - quiet neighborhood, hardwood floors, mountain views, community tennis court, community b",* Washer/Dryer * Air Conditioning,,,,,,
"[3 br, 4 bath House - 1585 48th Street](https://www.apartments.com/3-br-4-bath-house-1585-48th-street-boulder-co/c3bl9be/)",,"[1585 48th St, Boulder, CO 80303](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/1585+48th+St,+Boulder,+CO+80303/data=!4m2!4m1!3e2)",,,"$2,400 ",,,No Pets Allowed,1.3 mi,4 mins,,,* Dishwasher,"* No Dogs Allowed, No Cats Allowed, Amenities - granite tile counter-tops, hardwood floors, fireplace,",,,,* Laundry Facilities,,,
"[3 br, 1.5 bath House - 1110 Hartford Drive](https://www.apartments.com/3-br-15-bath-house-1110-hartford-drive-boulder-co/r7dmnz1/)",,"[1110 Hartford Dr, Boulder, CO 80305](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/1110+Hartford+Dr,+Boulder,+CO+80305/data=!4m2!4m1!3e2)",,,"$2,645 ",,,Dogs Allowed,4.4 mi,10 mins,,,,"* Amenities - quiet neighborhood, mature landscaping, garden, near transportation, near restaurants, n",,,,,,,
"[2 br, 2 bath House - 6902 Ralston Road](https://www.apartments.com/2-br-2-bath-house-6902-ralston-road-arvada-co/59k4yeq/)",,"[6902 Ralston Rd, Arvada, CO 80002](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/6902+Ralston+Rd,+Arvada,+CO+80002/data=!4m2!4m1!3e2)",,"2,000 Sq Ft","$1,995 ",,1995,Dogs Allowed,21.7 mi,30 mins,,,,* No Cats Allowed,,,,,,,
"[3 br, 1.5 bath House - 1160 Trout Creek Cir](https://www.apartments.com/3-br-15-bath-house-1160-trout-creek-cir-longmont-co/8024bd3/)",,"[1160 Trout Creek Cir, Longmont, CO 80504](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/1160+Trout+Creek+Cir,+Longmont,+CO+80504/data=!4m2!4m1!3e2)",,,"$1,895 ",,,No Pets Allowed,18.25 mi,30 mins,,,* Dishwasher,"* No Pets Allowed, Amenities - a/c or swamp cooler, Garage, Yard",,,,,,,
"[3 br, 3 bath House - 3276 Sentinel Drive](https://www.apartments.com/3-br-3-bath-house-3276-sentinel-drive-boulder-co/1xkrdm6/)",,"[3276 Sentinel Dr, Boulder, CO 80301](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/3276+Sentinel+Dr,+Boulder,+CO+80301/data=!4m2!4m1!3e2)",,,"$2,495 ",,,Dogs Allowed,2.45 mi,8 mins,,,,"* Amenities - great natural light, end unit, gas fireplace, large master bedroom, updated bathroom, si",,,,,,,
"[3 br, 2.5 bath House - 1482 Sepia Avenue](https://www.apartments.com/3-br-25-bath-house-1482-sepia-avenue-longmont-co/h4wz2v2/)",,"[1482 Sepia Ave, Longmont, CO 80501](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/1482+Sepia+Ave,+Longmont,+CO+80501/data=!4m2!4m1!3e2)",,,"$2,050 ",,,Dogs Allowed,12.899999999999999 mi,20 mins,,,,,,,,,,,
[1544 9th St](https://www.apartments.com/1544-9th-st-boulder-co/twmqvmb/),,"[1544 9th St, Boulder, CO 80302](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/1544+9th+St,+Boulder,+CO+80302/data=!4m2!4m1!3e2)",400 Sq Ft,,"$1,795 ",1795,,Dogs Allowed,1.75 mi,7 mins,,,,"* Amenities - abundant natural light, updated, private fenced yard, close to cu campus, close to downt",,,,,,,
"[3 br, 3.5 bath House - 4692 17th Street](https://www.apartments.com/3-br-35-bath-house-4692-17th-street-boulder-co/jrxnj66/)",,"[4692 17th St, Boulder, CO 80304](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/4692+17th+St,+Boulder,+CO+80304/data=!4m2!4m1!3e2)",,,"$3,150 ",,,,3.6500000000000004 mi,10 mins,,,,,,,,,,,
"[4 br, 3 bath House - 10900 Hermosa Court](https://www.apartments.com/4-br-3-bath-house-10900-hermosa-court-northglenn-co/rpvspf1/)",,"[10900 Hermosa Ct, Northglenn, CO 80234](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/10900+Hermosa+Ct,+Northglenn,+CO+80234/data=!4m2!4m1!3e2)",,,"$2,595 ",,,Dogs Allowed,19.1 mi,29 mins,,,,"* No Cats Allowed, Amenities - hardwood floors, open layout, quiet neighborhood, fruit trees, new inte",,,,,,,
"[3 br, 2.5 bath House - 316 Sweet Valley Court](https://www.apartments.com/3-br-25-bath-house-316-sweet-valley-court-longmont-co/2k0mjn8/)",,"[316 Sweet Valley Ct, Longmont, CO 80501](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/316+Sweet+Valley+Ct,+Longmont,+CO+80501/data=!4m2!4m1!3e2)",,,"$2,295 ",,,,16.15 mi,26 mins,,,,,,,,,,,
[611 Grandview Meadows Dr](https://www.apartments.com/611-grandview-meadows-dr-longmont-co/6t9svqs/),,"[611 Grandview Meadows Dr, Longmont, CO 80503](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/611+Grandview+Meadows+Dr,+Longmont,+CO+80503/data=!4m2!4m1!3e2)",,"1,588 Sq Ft","$1,995 ",,1995,Dogs Allowed,12.8 mi,19 mins,,,,* No Cats Allowed,,,,,,,
"[3 br, 3 bath House - 1532 Sepia Ave](https://www.apartments.com/3-br-3-bath-house-1532-sepia-ave-longmont-co/f0vf57v/)",,"[1532 Sepia Ave, Longmont, CO 80501](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/1532+Sepia+Ave,+Longmont,+CO+80501/data=!4m2!4m1!3e2)",,,"$2,050 ",,,Dogs Allowed,12.899999999999999 mi,20 mins,,,,* No Cats Allowed,,,,,,,
[3301 Arapahoe Ave](https://www.apartments.com/3301-arapahoe-ave-boulder-co/2tnepgc/),,"[3301 Arapahoe Ave, Boulder, CO 80303](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/3301+Arapahoe+Ave,+Boulder,+CO+80303/data=!4m2!4m1!3e2)",,"1,443 Sq Ft","$3,195 ",,3195,Dogs Allowed,0.6 mi,3 mins,,,,"* No Cats Allowed, Amenities - hardwood floors, stainless steel appliances, open layout, great natural",* Washer/Dryer * Air Conditioning,,,,,,
"[5 br, 3 bath House - 1280 Linden Ave](https://www.apartments.com/5-br-3-bath-house-1280-linden-ave-boulder-co/q64m53y/)",,"[1280 Linden Ave, Boulder, CO 80304](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/1280+Linden+Ave,+Boulder,+CO+80304/data=!4m2!4m1!3e2)",,,"$2,900 ",,,,3.1 mi,9 mins,,,,,,,,,,,
[3751 W 136th Ave](https://www.apartments.com/3751-w-136th-ave-broomfield-co/1y6gt97/),,"[3751 W 136th Ave, Broomfield, CO 80023](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/3751+W+136th+Ave,+Broomfield,+CO+80023/data=!4m2!4m1!3e2)",,,"$2,295 ",,,Dogs Allowed,16.55 mi,25 mins,,,,"* Amenities - fireplace, double-pane windows, storage, backs to open space, Garage",* Air Conditioning,,,* Laundry Facilities,,,
"[2 br, 1.5 bath House - 1180 Monroe Drive #C](https://www.apartments.com/2-br-15-bath-house-1180-monroe-drive-c-boulder-co/9exvrb7/)",,"[1180 Monroe Dr, Boulder, CO 80303](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/1180+Monroe+Dr,+Boulder,+CO+80303/data=!4m2!4m1!3e2)",,"1,056 Sq Ft","$2,395 ",,2395,No Pets Allowed,1.4 mi,4 mins,,,,"* No Dogs Allowed, No Cats Allowed, Amenities - completely renovated, forced air gas heat, storage loc",* Washer/Dryer * Air Conditioning,,,,,,
"[3 br, 2.5 bath House - 8336 Devinney Street](https://www.apartments.com/3-br-25-bath-house-8336-devinney-street-arvada-co/1ywepd5/)",,"[8336 Devinney St, Arvada, CO 80005](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/8336+Devinney+St,+Arvada,+CO+80005/data=!4m2!4m1!3e2)",,,"$2,500 ",,,No Pets Allowed,15.6 mi,24 mins,,,,"* No Dogs Allowed, No Cats Allowed, Amenities - gas fireplace, private fenced backyard, wood floors, c",* Washer/Dryer,,,,,,
"[4 br, 2 bath House - 1242 Muriel Dr](https://www.apartments.com/4-br-2-bath-house-1242-muriel-dr-northglenn-co/rl7ln62/)",,"[1242 Muriel Dr, Northglenn, CO 80233](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/1242+Muriel+Dr,+Northglenn,+CO+80233/data=!4m2!4m1!3e2)",,,"$2,040 ",,,Dogs Allowed,20.5 mi,32 mins,,,,"* Oven, Amenities - hardwood floor, breakfast nook, living room, dining room, cable ready, forced air",* Washer/Dryer,,,,,,
"[4 br, 1.5 bath House - 3870 Broadway #16](https://www.apartments.com/4-br-15-bath-house-3870-broadway-16-boulder-co/jws0tf6/)",,"[3870 Broadway St, Boulder, CO 80304](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/3870+Broadway+St,+Boulder,+CO+80304/data=!4m2!4m1!3e2)",,,"$2,800 ",,,Dogs Allowed,3.3 mi,9 mins,,,,"* Amenities - townhouse, extra storage, fireplace, hardwood floors, hiking/biking trails nearby, mount",* Washer/Dryer * Air Conditioning,,,,,,
"[3 br, 2 bath House - 3880 19th Street](https://www.apartments.com/3-br-2-bath-house-3880-19th-street-boulder-co/pc4s86t/)",,"[3880 19th St, Boulder, CO 80304](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/3880+19th+St,+Boulder,+CO+80304/data=!4m2!4m1!3e2)",,,"$2,995 ",,,Dogs Allowed,2.9 mi,8 mins,,,,"* Amenities - woodstove, remodeled bathroom, 1-car detached garage, storage, wood floors, open layout,",,,,,,,
[3000 Colorado Ave](https://www.apartments.com/3000-colorado-ave-boulder-co/nvk4bfq/),,"[3000 Colorado Ave, Boulder, CO 80303](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/3000+Colorado+Ave,+Boulder,+CO+80303/data=!4m2!4m1!3e2)",,,"$2,395 ",,,No Pets Allowed,1.15 mi,4 mins,,,,"* No Dogs Allowed, No Cats Allowed, Amenities - central air-conditioning, gas heat, 3 parking spaces,",,,,* Laundry Facilities,,,
[429 Francis St](https://www.apartments.com/429-francis-st-longmont-co/c0gry2d/),,"[429 Francis St, Longmont, CO 80501](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/429+Francis+St,+Longmont,+CO+80501/data=!4m2!4m1!3e2)",,900 Sq Ft,"$1,695 ",,1695,,14.55 mi,23 mins,,,,,,,,,,,
"[3 br, 3.5 bath House - 142 Meadowlook Way](https://www.apartments.com/3-br-35-bath-house-142-meadowlook-way-boulder-co/lcdfbsd/)",,"[142 Meadowlook Way, Boulder, CO 80304](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/142+Meadowlook+Way,+Boulder,+CO+80304/data=!4m2!4m1!3e2)",,,"$5,000 ",,,Dogs Allowed,5.2 mi,15 mins,,,,"* Amenities - 24 month lease, extra storage, fireplace, five-piece bath, granite countertops, hardwood",* Washer/Dryer * Air Conditioning,,,,,,
